AP_K,embedder_name,metric_name,chunk_size
0.8933333333333333,intfloat/multilingual-e5-large,cosine,512
0.8966666666666666,intfloat/multilingual-e5-large,cosine,1024
0.8995238095238095,intfloat/multilingual-e5-large,cosine,1536
0.8919047619047619,intfloat/multilingual-e5-large,cosine,2048
0.881904761904762,intfloat/multilingual-e5-base,cosine,512
0.8909523809523809,intfloat/multilingual-e5-base,cosine,1024
0.8614285714285714,intfloat/multilingual-e5-base,cosine,1536
0.8733333333333333,intfloat/multilingual-e5-base,cosine,2048
0.8904761904761905,intfloat/multilingual-e5-small,cosine,512
0.8842857142857142,intfloat/multilingual-e5-small,cosine,1024
0.8614285714285714,intfloat/multilingual-e5-small,cosine,1536
0.8671428571428572,intfloat/multilingual-e5-small,cosine,2048
0.81,ai-forever/ru-en-RoSBERTa,cosine,512
0.8414285714285714,ai-forever/ru-en-RoSBERTa,cosine,1024
0.8414285714285714,ai-forever/ru-en-RoSBERTa,cosine,1536
0.8442857142857143,ai-forever/ru-en-RoSBERTa,cosine,2048
0.7914285714285714,sergeyzh/rubert-tiny-turbo,cosine,512
0.8157142857142857,sergeyzh/rubert-tiny-turbo,cosine,1024
0.7757142857142857,sergeyzh/rubert-tiny-turbo,cosine,1536
0.7728571428571429,sergeyzh/rubert-tiny-turbo,cosine,2048
0.5828571428571429,cointegrated/rubert-tiny2,cosine,512
0.3814285714285714,cointegrated/rubert-tiny2,cosine,1024
0.4128571428571428,cointegrated/rubert-tiny2,cosine,1536
0.4585714285714286,cointegrated/rubert-tiny2,cosine,2048
0.8404761904761905,deepvk/USER-bge-m3,cosine,512
0.8614285714285714,deepvk/USER-bge-m3,cosine,1024
0.8714285714285714,deepvk/USER-bge-m3,cosine,1536
0.8457142857142858,deepvk/USER-bge-m3,cosine,2048
0.7871428571428571,deepvk/USER-base,cosine,512
0.8185714285714285,deepvk/USER-base,cosine,1024
0.7757142857142857,deepvk/USER-base,cosine,1536
0.76,deepvk/USER-base,cosine,2048
0.8395238095238096,sergeyzh/LaBSE-ru-turbo,cosine,512
0.8414285714285714,sergeyzh/LaBSE-ru-turbo,cosine,1024
0.7857142857142857,sergeyzh/LaBSE-ru-turbo,cosine,1536
0.8185714285714285,sergeyzh/LaBSE-ru-turbo,cosine,2048
0.7157142857142857,cointegrated/LaBSE-en-ru,cosine,512
0.7057142857142857,cointegrated/LaBSE-en-ru,cosine,1024
0.6742857142857144,cointegrated/LaBSE-en-ru,cosine,1536
0.7085714285714286,cointegrated/LaBSE-en-ru,cosine,2048
0.936190476190476,mistral-embed,cosine,512
0.9361904761904761,mistral-embed,cosine,1024
0.9347619047619048,mistral-embed,cosine,1536
0.951904761904762,mistral-embed,cosine,2048
